id,en_word,type,definition,classification,source
i108137,score,noun,a number that expresses the accomplishment of a team or an individual in a game or contest,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i84881,why,noun,"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'",Core,LLM (ministral-3:14b)
i84882,incentive,noun,a positive motivational influence,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i76104,urge,noun,a strong restless desire,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i62468,conscience,noun,conformity to one's own sense of right conduct,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i84910,sense of shame,noun,a motivating awareness of ethical responsibility,Common,LLM (ministral-3:14b)
i72174,signal,noun,any nonverbal action or gesture that encodes a message,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i12509,solid,adjective,of definite shape and volume; firm; neither liquid nor gaseous,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i4980,plane,adjective,"having a surface without slope, tilt in which no part is higher or lower than another",Core,LLM (ministral-3:14b) (LLM Selected Sense #5)
i109772,natural shape,noun,a shape created by natural forces; not man-made,Common,LLM (ministral-3:14b)
i109773,leaf shape,noun,any of the various shape that leaves of plants can assume,Common,LLM (ministral-3:14b)
i107581,flare,noun,a sudden burst of flame,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109776,figure,noun,a combination of points and lines and planes that form a visible palpable shape,Core,LLM (ministral-3:14b) (LLM Selected Sense #5)
i57109,pencil,noun,a thin cylindrical pointed writing implement; a rod of marking substance encased in wood,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i72219,line,noun,a mark that is long relative to its width,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i55681,bulb,noun,electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109789,round shape,noun,a shape that is curved and without sharp angles,Common,LLM (ministral-3:14b)
i65294,heart,noun,the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i50704,curve,noun,curved segment (of a road or river or railroad track etc.),Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i75330,wave,noun,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i31921,bend,verb,form a curve,Core,LLM (ministral-3:14b) (LLM Selected Sense #6)
i54886,hook,noun,a mechanical device that is curved or bent to suspend or hold or pull something,Core,LLM (ministral-3:14b) (LLM Selected Sense #3)
i53443,envelope,noun,"a flat (usually rectangular) container for a letter, thin package, etc.",Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109815,straight line,noun,a line traced by a point traveling in a constant direction; a line of zero curvature,Common,LLM (ministral-3:14b)
i9435,perpendicular,adjective,intersecting at or forming right angles,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i112780,connection,noun,the state of being connected,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i85982,pit,noun,a sizeable hole (usually in the ground),Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i54100,funnel,noun,a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109836,circle,noun,something approximating the shape of a circle,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i82012,equator,noun,an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i67630,sector,noun,a particular aspect of life or activity,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i109843,disk,noun,something with a round shape resembling a flat circular plate,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i58184,ring,noun,jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,Core,LLM (ministral-3:14b) (LLM Selected Sense #7)
i109845,loop,noun,anything with a round or oval shape (formed by a curve that is closed and does not intersect itself),Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i52140,coil,noun,a structure consisting of something wound in a continuous series of loops,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i12835,spiral,adjective,in the shape of a coil,Common,LLM (ministral-3:14b) (LLM Selected Sense #6)
i52228,element,noun,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109857,kink,noun,a sharp bend in a line produced when a line having a loop is pulled tight,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i31990,whirl,verb,turn in a twisting or spinning motion,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i11197,square,adjective,having four equal sides and four right angles or forming a right angle,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109864,triangle,noun,a three-sided polygon,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i9424,parallel,adjective,being everywhere equidistant and not intersecting,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i86240,star,noun,any celestial body visible (as a point of light) from the Earth at night,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i51036,box,noun,a (usually rectangular) container; may have a lid,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i55444,knot,noun,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109909,arch,noun,a curved shape in the vertical plane that spans an opening,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i50670,bell,noun,a hollow device made of metal that makes a ringing sound when struck,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109917,zigzag,noun,an angular shape characterized by sharp turns in alternating directions,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109918,angle,noun,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i66118,hip,noun,either side of the body below the waist and above the thigh,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i33926,lead,verb,be in charge of,Core,LLM (ministral-3:14b) (LLM Selected Sense #23)
i51022,bowl,noun,a round vessel that is open at the top; used chiefly for holding food or liquids,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109952,groove,noun,a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record),Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i40781,rut,noun,a settled and monotonous routine that is hard to escape,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i28246,scoop,verb,take out or up with or as if with a scoop,Common,LLM (ministral-3:14b) (LLM Selected Sense #6)
i23032,bulge,verb,swell or protrude outwards,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i66121,belly,noun,the region of the body of a vertebrate between the thorax and the pelvis,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109959,nub,noun,a small lump or protuberance,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i66822,snag,noun,an unforeseen obstacle,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i61738,wart,noun,(pathology) a firm abnormal elevated blemish on the skin; caused by a virus,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i74917,bow,noun,bending the head or body or knee as a sign of reverence or submission or shame or greeting,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i109964,crescent,noun,any shape resembling the curved shape of the moon in its first or last quarters,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i76364,depression,noun,sad feelings of gloom and inadequacy,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i66339,dimple,noun,a small natural hollow in the cheek or chin,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i35126,flank,verb,be located at the sides of something or somebody,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i63953,altitude,noun,elevation especially above sea level or above the earth's surface,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i85050,base,noun,the bottom or lowest part,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i110520,balance,noun,a state of equilibrium,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109976,symmetry,noun,balance among the parts of something,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109979,sphere,noun,a three-dimensional closed surface such that every point on the surface is equidistant from the center,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i50388,ball,noun,round object that is hit or thrown or kicked in games,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i52191,column,noun,(architecture) a tall vertical cylindrical structure standing upright and used to support a structure,Core,LLM (ministral-3:14b) (LLM Selected Sense #6)
i50486,barrel,noun,a cylindrical container that holds liquids,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i57330,pipe,noun,a long tube made of metal or plastic that is used to carry water or oil or gas etc.,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109993,pellet,noun,a small sphere,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i109275,drop,noun,a small indefinite quantity (especially of a liquid),Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i109996,dewdrop,noun,a drop of dew,Common,LLM (ministral-3:14b)
i65376,teardrop,noun,a drop of the clear salty saline solution secreted by the lacrimal glands,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i86065,ridge,noun,a long narrow natural elevation or striation,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110000,rim,noun,the shape of a raised edge of a more or less circular object,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i82287,point,noun,the precise location of something; a spatially limited location,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i22471,taper,verb,diminish gradually,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
synset-oewn-13925916-n,figure eight,noun,a two-dimensional figure having the shape of the number eight,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i81782,boundary,noun,the line or plane indicating the limit or extent of something,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i70064,margin,noun,the blank space that surrounds the text on a page,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i110006,periphery,noun,the outside boundary or surface of something,Common,LLM (ministral-3:14b)
i81809,brink,noun,the edge of a steep place,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i6754,diagonal,adjective,having an oblique or slanted direction,Common,LLM (ministral-3:14b) (LLM Selected Sense #6)
i52613,cup,noun,a small open container usually used for drinking; usually has a handle,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110016,notch,noun,a V-shaped indentation,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i31664,sag,verb,"droop, sink, or settle from or as if from pressure or loss of tautness",Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i110019,wrinkle,noun,a slight depression in the smoothness of a surface,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110022,frown line,noun,a facial wrinkle associated with frowning,Common,LLM (ministral-3:14b)
i85276,crevice,noun,a long narrow opening,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i28055,fold,verb,bend or lay so that one part covers the other,Core,LLM (ministral-3:14b) (LLM Selected Sense #7)
i28057,pucker,verb,to gather something into small wrinkles or folds,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i70066,indentation,noun,the space left between the margin and the start of an indented line,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i85276,cleft,noun,a long narrow opening,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i110042,blob,noun,an indistinct shapeless form,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110043,void,noun,an empty area or space,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i110044,space,noun,an empty area (usually bounded in some way between things),Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i12532,hollow,adjective,not solid; having a space or gap or cavity,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i85530,hole,noun,an opening into or through something,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110049,cavity,noun,space that is surrounded by something,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i57481,pocket,noun,a small pouch inside a garment for carrying small articles,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i64523,pore,noun,any small opening in the skin or outer surface of an animal,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i105570,tree,noun,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i110057,spur,noun,any sharply pointed projection,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i45317,ray,noun,any of the stiff bony spines in the fin of a fish,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i30296,cast,verb,"select to play,sing, or dance a part in a play, movie, musical, opera, or ballet",Core,LLM (ministral-3:14b) (LLM Selected Sense #11)
i105840,branch,noun,"a division of a stem, or secondary stem arising from the main stem of a plant",Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i53987,fork,noun,cutlery used for serving and eating food,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i57612,pouch,noun,a small or medium size container for holding or carrying things,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i50851,block,noun,a solid piece of something (usually having flat rectangular sides),Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110068,pyramid,noun,a polyhedron having a polygonal base and triangular sides with a common vertex,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i110067,cube,noun,a three-dimensional shape with six square or rectangular sides,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i1699,unable,adjective,(usually followed by `to') lacking necessary physical or mental ability,Core,Auto-Flagged Negative Prefix (LLM Selected Sense #1)
i46811,tail,noun,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i64817,tongue,noun,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i61059,wedge,noun,something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i55339,keel,noun,one of the main longitudinal beams (or plates) of the hull of a vessel; can extend vertically into the water to provide lateral stability,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i1695,able,adjective,having inherent physical or mental ability or capacity,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i13,dying,adjective,in or associated with the process of passing from life or ceasing to be,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i5545,last,adjective,coming after all others in time or space or degree or being the only one remaining,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i16,abridged,adjective,(used of texts) shortened by condensing or rewriting,Common,LLM (ministral-3:14b)
i3675,cut,adjective,separated into parts or laid open or penetrated with a sharp edge or instrument,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i10080,potted,adjective,of plants; planted or grown in a pot,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i22,absolute,adjective,perfect or complete or pure,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i4220,direct,adjective,straightforward in means or manner or behavior or language or action,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i5518,infinite,adjective,having no limits or boundaries in time or space or extent or magnitude,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i110305,living,noun,the condition of living or the state of being alive,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i90856,relative,noun,a person related by blood or marriage,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i29,absorbent,adjective,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.),Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i10871,receptive,adjective,ready or willing to receive favorably,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i6320,spongy,adjective,easily squashed; resembling a sponge in having soft porous texture and compressibility,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i6936,thirsty,adjective,feeling a need or desire to drink,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i8897,repellent,adjective,highly offensive; arousing aversion or disgust,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i51,greedy,adjective,wanting to eat or drink more than one can reasonably consume,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i67636,abstract,noun,a concept or idea not associated with any specific instance,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i56,conceptual,adjective,being or characterized by concepts or their formation,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i67962,ideal,noun,the idea of something that is perfect; something that one hopes to attain,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i114924,concrete,noun,a strong hard building material composed of sand and gravel and cement and water,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i68254,objective,noun,the goal intended to be attained (and which is believed to be attainable),Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i10598,real,adjective,being or occurring in fact or actuality; having verified existence; not illusory,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i62,abundant,adjective,present in great quantity,Common,LLM (ministral-3:14b)
i4147,easy,adjective,posing no difficulty; requiring little effort,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i13343,thick,adjective,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i7833,long,adjective,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i25026,rank,noun,take or have a position relative to others,Core,LLM (ministral-3:14b) (LLM Selected Sense #10)
i78,scarce,adjective,deficient in quantity or number compared with the demand,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i3450,rare,adjective,(of meat) cooked a short time; still red inside,Core,LLM (ministral-3:14b) (LLM Selected Sense #5)
i18667,tight,adverb,firmly or closely,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i81,abused,adjective,subjected to cruel treatment,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i3784,battered,adjective,damaged by blows or hard usage,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i5583,acceptable,adjective,adequate for the purpose,Core,LLM (ministral-3:14b) (LLM Selected Sense #3)
i90,accessible,adjective,capable of being reached,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i91,approachable,adjective,easily approached,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i3357,handy,adjective,easy to use,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i94,inaccessible,adjective,capable of being reached only with great difficulty or not at all,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i103,accurate,adjective,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i28418,close,verb,move so that an opening or passage is obstructed; make shut,Core,LLM (ministral-3:14b) (LLM Selected Sense #20)
i21710,straight,adverb,in a straight line; in a direct course,Core,LLM (ministral-3:14b) (LLM Selected Sense #10)
i13638,true,adjective,consistent with fact or reality; not false,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i111,inaccurate,adjective,not exact,Common,LLM (ministral-3:14b)
i10153,away,adjective,not present; having left,Core,LLM (ministral-3:14b) (LLM Selected Sense #12)
i9622,faulty,adjective,having a defect,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i14204,wide,adjective,having great (or a certain) extent from one side to the other,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
synset-oewn-00024458-a,accustomed to,adjective,in the habit of or adapted to,Common,LLM (ministral-3:14b)
i117,used to,adjective,in the habit,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i8983,new,adjective,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i13123,acid,adjective,being sour to the taste,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i5537,basic,adjective,serving as a base or starting point,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i133,acknowledged,adjective,recognized or made known or admitted,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i134,accepted,adjective,generally approved or compelling recognition,Common,LLM (ministral-3:14b)
i29900,given,verb,give or supply,Common,LLM (ministral-3:14b) (LLM Selected Sense #13)
i148,possessive,adjective,desirous of owning,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i175,active,adjective,full of activity or engaged in continuous activity,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i18567,about,adverb,in the area or vicinity,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i158,acrobatic,adjective,vigorously active,Common,LLM (ministral-3:14b)
i159,agile,adjective,moving quickly and lightly,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i6824,hot,adjective,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i161,hyperactive,adjective,more active than normal,Common,LLM (ministral-3:14b)
i162,on the go,adjective,(of a person) very busy and active,Common,LLM (ministral-3:14b)
i163,sporty,adjective,appropriate for sport or engagement in a sport,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i182,inactive,adjective,lacking activity; lying idle or unused,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i165,desk-bound,adjective,restricted to working in an office rather than in an active physical capacity,Common,LLM (ministral-3:14b)
i8590,inert,adjective,unable to move or resist motion,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i169,sedentary,adjective,requiring sitting or little activity,Common,LLM (ministral-3:14b)
i216,activated,adjective,rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i19470,off,adverb,no longer on or in contact or attached,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i174,retired,adjective,no longer active in your work or profession,Common,LLM (ministral-3:14b)
i4796,brisk,adjective,quick and energetic,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i177,bustling,adjective,full of energetic and noisy activity,Common,LLM (ministral-3:14b)
i1626,busy,adjective,actively or fully engaged or occupied,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i35634,going,noun,the act of departing,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i9053,open,adjective,affording unobstructed entrance and exit; not shut or closed,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i4628,springy,adjective,elastic; rebounds readily,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i1528,dark,adjective,devoid of or deficient in light or brightness; shadowed or black,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i500,dead,adjective,no longer having or seeming to have or expecting to have life,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i4445,dull,adjective,lacking in liveliness or animation,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i1633,idle,adjective,not in action or at work,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i191,dead-end,adjective,lacking opportunities for development or advancement,Common,LLM (ministral-3:14b)
i4980,flat,adjective,"having a surface without slope, tilt in which no part is higher or lower than another",Core,LLM (ministral-3:14b) (LLM Selected Sense #11)
i91356,activist,noun,a militant reformer,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i198,hands-on,adjective,involving active participation,Common,LLM (ministral-3:14b)
i200,passive,adjective,lacking in energy or will,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i201,hands-off,adjective,not involving participation or intervention,Common,LLM (ministral-3:14b)
i5091,extinct,adjective,no longer in existence; lost or especially having died out leaving no living representatives,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i496,alive,adjective,possessing life,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i10525,quiet,adjective,free of noise or uproar; or making little if any sound,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i223,actual,adjective,presently existing in fact and not merely potential or possible,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i2870,effective,adjective,able to accomplish a purpose; functioning effectively,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i225,potential,adjective,existing in possibility,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i5438,deadly,adjective,causing or capable of causing death,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i242,addicted,adjective,compulsively or physiologically dependent on something habit-forming,Common,LLM (ministral-3:14b)
i88142,alcoholic,noun,a person who drinks alcohol to excess habitually,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i4017,dependent,adjective,"relying on or requiring a person or thing for support, supply, or what is needed",Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i2367,clean,adjective,free from dirt or impurities; or having clean habits,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i247,addictive,adjective,causing or characterized by addiction,Common,LLM (ministral-3:14b)
i53536,extra,noun,something additional of the same kind,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i261,addressed,adjective,(of mail) marked with a destination,Common,LLM (ministral-3:14b)
i12938,adequate,adjective,sufficient for the purpose,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i2868,competent,adjective,properly or sufficiently qualified or capable or efficient,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
